ts_kst,value,session_id,normalized_value,ts_minute
2024-10-30 08:55:27.550,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:36.134,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:36.196,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:37.788,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:40.064,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:42.154,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:44.311,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:46.717,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:48.238,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:48.243,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:48.442,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:48.592,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:48.992,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:49.048,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:49.685,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:49.733,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:49.960,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:51.919,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:54.116,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:57.887,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:58.266,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:55:59.875,13.0,0,0.0,2024-10-30 08:55:00
2024-10-30 08:56:00.064,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:00.485,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:00.489,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:01.105,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:01.111,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:01.502,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:01.546,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:02.279,13.0,0,0.0,2024-10-30 08:56:00
2024-10-30 08:56:04.111,13.0,0,0.0,2024-10-30 08:56:00
