_id,num_near,near_duration,time,uid
6721772f5fc86555907d0cfb,0,0,2024-10-23T08:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d0c,0,0,2024-10-23T09:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d1d,0,0,2024-10-23T10:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d2e,0,0,2024-10-23T11:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d3f,0,0,2024-10-23T12:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d50,0,0,2024-10-23T13:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d61,0,0,2024-10-23T14:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d72,0,0,2024-10-23T15:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d83,0,0,2024-10-23T16:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0d94,0,0,2024-10-23T17:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177305fc86555907d0da5,0,0,2024-10-23T18:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177315fc86555907d0db6,0,0,2024-10-23T19:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177315fc86555907d0dc7,0,0,2024-10-23T20:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177315fc86555907d0dd8,0,0,2024-10-23T21:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e17,0,0,2024-10-23T22:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e28,0,0,2024-10-23T23:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e39,0,0,2024-10-24T00:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e4a,0,0,2024-10-24T01:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e5b,0,0,2024-10-24T02:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e6c,0,0,2024-10-24T03:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e7d,0,0,2024-10-24T04:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e8e,0,0,2024-10-24T05:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0e9f,0,0,2024-10-24T06:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177325fc86555907d0eb0,0,0,2024-10-24T07:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0ec1,0,0,2024-10-24T08:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0ed2,0,0,2024-10-24T09:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0ef8,0,0,2024-10-24T10:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f3d,0,0,2024-10-24T11:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f4e,0,0,2024-10-24T12:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f5f,0,0,2024-10-24T13:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f70,0,0,2024-10-24T14:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f81,0,0,2024-10-24T15:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0f92,0,0,2024-10-24T16:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0fa3,0,0,2024-10-24T17:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177335fc86555907d0fb4,0,0,2024-10-24T18:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177345fc86555907d0fc5,0,0,2024-10-24T19:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177345fc86555907d0fd6,0,0,2024-10-24T20:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177345fc86555907d0ff8,0,0,2024-10-24T21:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177345fc86555907d1009,0,0,2024-10-24T22:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
672177345fc86555907d101a,0,0,2024-10-24T23:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
