_id,uid,type,timestamp,x,y,z,test
6827bc354b2ae70172a64e90,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.558Z,-4.996699,0.50038815,7.8649526,true
6827bc354b2ae70172a64e91,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:26.930Z,-3.277662,4.1826706,8.319851,true
6827bc354b2ae70172a64e92,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:27.089Z,-3.359065,4.146757,8.197746,true
6827bc354b2ae70172a64e93,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.560Z,-4.608838,-0.08379706,8.829816,true
6827bc354b2ae70172a64e94,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.559Z,-4.8698063,0.5386954,9.0716305,true
6827bc354b2ae70172a64e95,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.559Z,-4.7381253,0.25617957,8.714894,true
6827bc354b2ae70172a64e96,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.561Z,-4.3406878,-0.01436521,8.813056,true
6827bc354b2ae70172a64e97,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.559Z,-4.7405195,0.05746084,8.693346,true
6827bc354b2ae70172a64e98,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.585Z,-4.5418005,-0.2801216,8.659827,true
6827bc354b2ae70172a64e99,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.560Z,-4.7429137,-0.009576807,8.896853,true
6827bc354b2ae70172a64e9a,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.732Z,-4.24492,-0.50517654,8.834604,true
6827bc354b2ae70172a64e9b,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:35.891Z,-4.63278,-0.17956513,8.9040365,true
6827bc354b2ae70172a64e9c,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.052Z,-4.1683054,-1.055843,9.25359,true
6827bc354b2ae70172a64e9d,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.210Z,-4.4580035,-0.7781156,8.834604,true
6827bc354b2ae70172a64e9e,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.370Z,-4.1012673,-1.1085154,8.59279,true
6827bc354b2ae70172a64e9f,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.531Z,-4.783615,-0.5386954,8.808268,true
6827bc354b2ae70172a64ea0,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.689Z,-4.378995,-0.80445176,8.803479,true
6827bc354b2ae70172a64ea1,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:36.849Z,-4.367024,-0.7589619,8.748413,true
6827bc354b2ae70172a64ea2,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.009Z,-4.268862,-1.2569559,8.798691,true
6827bc354b2ae70172a64ea3,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.169Z,-4.3287168,-1.055843,8.882488,true
6827bc354b2ae70172a64ea4,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.330Z,-4.237737,-1.2665327,8.841787,true
6827bc354b2ae70172a64ea5,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.489Z,-4.7165775,-1.0055647,8.552089,true
6827bc354b2ae70172a64ea6,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.648Z,-3.2393548,-2.6048915,9.054871,true
6827bc354b2ae70172a64ea7,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.808Z,-2.5498247,-6.7133417,7.5561004,true
6827bc354b2ae70172a64ea8,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:37.968Z,-2.554613,-7.3789296,6.232107,true
6827bc354b2ae70172a64ea9,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.129Z,-2.858677,-6.703765,4.7285485,true
6827bc354b2ae70172a64eaa,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.288Z,-3.095703,-8.9519205,3.5889084,true
6827bc354b2ae70172a64eab,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.448Z,-3.5529952,-8.856153,1.5227122,true
6827bc354b2ae70172a64eac,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.612Z,-2.6048915,-9.354146,-4.098873,true
6827bc354b2ae70172a64ead,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.769Z,1.6041151,-10.326192,-1.4772224,true
6827bc354b2ae70172a64eae,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:38.970Z,2.7461493,-8.039729,-5.058948,true
6827bc354b2ae70172a64eaf,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.089Z,3.2561142,-7.1395097,-4.220978,true
6827bc354b2ae70172a64eb0,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.248Z,3.976769,-8.219295,-4.4819455,true
6827bc354b2ae70172a64eb1,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.439Z,4.0438066,-7.548918,-4.3981485,true
6827bc354b2ae70172a64eb2,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.567Z,4.367024,-7.4746976,-4.5777135,true
6827bc354b2ae70172a64eb3,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.728Z,4.3885717,-7.7428484,-4.9440265,true
6827bc354b2ae70172a64eb4,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:39.887Z,4.441244,-7.477092,-4.759673,true
6827bc354b2ae70172a64eb5,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.047Z,4.5801077,-7.6015906,-4.757279,true
6827bc354b2ae70172a64eb6,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.207Z,4.584896,-7.513005,-4.6351743,true
6827bc354b2ae70172a64eb7,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.367Z,4.522647,-7.529764,-4.596867,true
6827bc354b2ae70172a64eb8,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.528Z,4.5394063,-7.429208,-4.5178585,true
6827bc354b2ae70172a64eb9,W1hZkqBeWCUTVBX6rx9OeHmaWx63,Accelerometer,2024-10-29T23:55:40.686Z,4.489128,-7.369353,-4.582502,true
