_id,type,transition,time,uid
6716ff58873f1647840f8abd,ActivityType.IN_VEHICLE,ActivityTransition.EXIT,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8abe,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8abf,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac0,ActivityType.STILL,ActivityTransition.ENTER,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac1,ActivityType.STILL,ActivityTransition.EXIT,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac2,ActivityType.IN_VEHICLE,ActivityTransition.ENTER,2024-10-21T23:41:47Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac3,ActivityType.IN_VEHICLE,ActivityTransition.EXIT,2024-10-22T00:03:34Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac4,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T00:03:34Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac5,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T00:51:07Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ac6,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T00:51:07Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ad9,ActivityType.IN_VEHICLE,ActivityTransition.EXIT,2024-10-22T00:03:34Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ada,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T00:03:34Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8adb,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T00:51:07Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8adc,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T00:51:07Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a2,ActivityType.STILL,ActivityTransition.EXIT,2024-10-22T02:01:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a3,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T02:01:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a4,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T02:02:28Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a5,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T02:02:28Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a6,ActivityType.STILL,ActivityTransition.EXIT,2024-10-22T02:10:45Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a7,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T02:10:45Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a8,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T02:11:15Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f96a9,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T02:11:15Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67174d8e873f1647840fed60,ActivityType.STILL,ActivityTransition.EXIT,2024-10-22T06:51:40Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67174d8e873f1647840fed61,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T06:51:40Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67174d8e873f1647840fed62,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T06:57:18Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67174d8e873f1647840fed63,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T06:57:18Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104eab,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T09:12:49Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104eac,ActivityType.IN_VEHICLE,ActivityTransition.ENTER,2024-10-22T09:12:49Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104ead,ActivityType.IN_VEHICLE,ActivityTransition.EXIT,2024-10-22T09:12:49Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104eae,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T09:12:49Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104eaf,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T09:34:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67177d04873f164784104eb0,ActivityType.STILL,ActivityTransition.ENTER,2024-10-22T09:34:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b7c,ActivityType.IN_VEHICLE,ActivityTransition.ENTER,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b7d,ActivityType.IN_VEHICLE,ActivityTransition.ENTER,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b7e,ActivityType.IN_VEHICLE,ActivityTransition.EXIT,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b7f,ActivityType.WALKING,ActivityTransition.ENTER,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b80,ActivityType.WALKING,ActivityTransition.EXIT,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6721772e5fc86555907d0b81,ActivityType.IN_VEHICLE,ActivityTransition.ENTER,2024-10-22T12:57:43Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
