_id,type,time,X,Y,Z,uid,timestamp,x,y,z,test
67732e569b85a0767f6f2237,Gravity,2024-10-30T01:41:57.127Z,-5.046322,-7.824473,-3.0793982,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2238,Gravity,2024-10-30T01:41:57.139Z,-4.444609,-8.243847,-2.9077153,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2239,Gravity,2024-10-30T01:41:57.161Z,-3.706444,-8.715875,-2.5428743,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223a,Gravity,2024-10-30T01:41:57.179Z,-2.991696,-9.118559,-2.0179262,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223b,Gravity,2024-10-30T01:41:57.200Z,-2.3327978,-9.403071,-1.5200907,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223c,Gravity,2024-10-30T01:41:57.244Z,-1.6810713,-9.595293,-1.1290392,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223d,Gravity,2024-10-30T01:41:57.244Z,-0.9195716,-9.755306,-0.39847502,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223e,Gravity,2024-10-30T01:41:57.265Z,-0.7382145,-9.776428,-0.21656069,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f223f,Gravity,2024-10-30T01:41:57.279Z,-0.45412222,-9.796061,-0.03715981,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2240,Gravity,2024-10-30T01:41:57.299Z,-0.40379724,-9.798122,-0.064396195,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2241,Gravity,2024-10-30T01:41:57.332Z,-0.56587684,-9.787632,-0.22897418,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2242,Gravity,2024-10-30T01:41:57.340Z,-0.792431,-9.758535,-0.55981827,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2243,Gravity,2024-10-30T01:41:57.365Z,-1.0025226,-9.719053,-0.839844,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2244,Gravity,2024-10-30T01:41:57.379Z,-1.232335,-9.6691,-1.0771623,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2245,Gravity,2024-10-30T01:41:57.400Z,-1.3267075,-9.659477,-1.0510826,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2246,Gravity,2024-10-30T01:41:57.420Z,-1.5570153,-9.632249,-0.9827859,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2247,Gravity,2024-10-30T01:41:57.439Z,-1.7975177,-9.603695,-0.84166944,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2248,Gravity,2024-10-30T01:41:57.464Z,-2.0545995,-9.565142,-0.6760586,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2249,Gravity,2024-10-30T01:41:57.479Z,-2.3064544,-9.521572,-0.43629825,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224a,Gravity,2024-10-30T01:41:57.501Z,-2.495991,-9.483689,0.00814882,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224b,Gravity,2024-10-30T01:41:57.521Z,-2.620706,-9.424802,0.68951195,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224c,Gravity,2024-10-30T01:41:57.540Z,-2.7270126,-9.238633,1.8388627,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224d,Gravity,2024-10-30T01:41:57.562Z,-2.6229103,-9.045897,2.731759,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224e,Gravity,2024-10-30T01:41:57.592Z,-2.5600154,-8.735007,3.6491573,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f224f,Gravity,2024-10-30T01:41:57.600Z,-2.4651387,-8.425161,4.3715124,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2250,Gravity,2024-10-30T01:41:57.621Z,-2.3188992,-8.258976,4.7520986,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2251,Gravity,2024-10-30T01:41:57.639Z,-2.1943521,-8.250051,4.8261657,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2252,Gravity,2024-10-30T01:41:57.669Z,-2.055973,-8.277284,4.84045,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2253,Gravity,2024-10-30T01:41:57.679Z,-1.9021827,-8.261996,4.928643,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2254,Gravity,2024-10-30T01:41:57.720Z,-1.6891339,-8.237224,5.0463214,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2255,Gravity,2024-10-30T01:41:57.879Z,-2.1054273,-8.235589,4.890055,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2256,Gravity,2024-10-30T01:41:58.038Z,-2.5185492,-7.525539,5.761388,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2257,Gravity,2024-10-30T01:41:58.198Z,-3.0852168,-6.37197,6.786004,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2258,Gravity,2024-10-30T01:41:58.358Z,-3.1917922,-3.45676,8.604282,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2259,Gravity,2024-10-30T01:41:58.519Z,-3.2829847,-3.3329995,8.61879,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225a,Gravity,2024-10-30T01:41:58.678Z,-2.644886,-3.442681,8.793345,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225b,Gravity,2024-10-30T01:41:58.838Z,0.43512425,-8.532907,4.813593,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225c,Gravity,2024-10-30T01:41:58.998Z,3.37294,-7.543347,5.2812557,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225d,Gravity,2024-10-30T01:41:59.158Z,4.587984,-4.2195234,7.570764,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225e,Gravity,2024-10-30T01:41:59.318Z,6.1568956,-3.8783362,6.574314,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f225f,Gravity,2024-10-30T01:41:59.477Z,6.8801126,-0.93049717,6.925943,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2260,Gravity,2024-10-30T01:41:59.641Z,6.5736165,-0.36154842,7.2682385,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2261,Gravity,2024-10-30T01:41:59.797Z,5.7274613,-1.4584479,7.8255696,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2262,Gravity,2024-10-30T01:41:59.958Z,6.5971684,-4.580967,5.626955,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2263,Gravity,2024-10-30T01:42:00.118Z,5.3097186,-6.947152,4.440098,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2264,Gravity,2024-10-30T01:42:00.277Z,5.200011,-7.567464,3.4444075,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2265,Gravity,2024-10-30T01:42:00.437Z,4.687261,-7.6394463,3.9798195,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2266,Gravity,2024-10-30T01:42:00.597Z,2.4870427,-6.8931675,6.51685,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2267,Gravity,2024-10-30T01:42:00.756Z,-1.842643,-6.664218,6.954374,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2268,Gravity,2024-10-30T01:42:00.917Z,-3.1483598,-5.2386827,7.6690593,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2269,Gravity,2024-10-30T01:42:01.076Z,-3.3558347,-8.856037,2.5455005,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226a,Gravity,2024-10-30T01:42:01.236Z,-1.3033805,-9.465614,-2.2077496,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226b,Gravity,2024-10-30T01:42:01.396Z,0.6099907,-6.1462784,7.6171947,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226c,Gravity,2024-10-30T01:42:01.561Z,1.8268567,-6.138445,7.426477,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226d,Gravity,2024-10-30T01:42:01.716Z,2.0851846,-9.115872,2.9535618,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226e,Gravity,2024-10-30T01:42:01.878Z,1.6734238,-5.534392,7.920897,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f226f,Gravity,2024-10-30T01:42:02.039Z,1.446331,-8.177134,5.2166266,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2270,Gravity,2024-10-30T01:42:02.200Z,1.6312938,-9.661554,0.404979,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2271,Gravity,2024-10-30T01:42:02.358Z,1.1280305,-8.978879,-3.7786603,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2272,Gravity,2024-10-30T01:42:02.519Z,1.9792476,-9.282699,-2.4667976,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2273,Gravity,2024-10-30T01:42:02.680Z,2.463903,-9.491047,0.14173962,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2274,Gravity,2024-10-30T01:42:02.837Z,2.8836832,-9.325412,0.94437,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
67732e569b85a0767f6f2275,Gravity,2024-10-30T01:42:02.999Z,3.9083233,-8.428441,3.139597,W1hZkqBeWCUTVBX6rx9OeHmaWx63,,,,,
