_id,moving_distance,start_time,end_time,uid
6716cd13873f1647840f4b94,0,2024-10-21T18:00:00Z,2024-10-21T18:10:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b95,0,2024-10-21T18:10:00Z,2024-10-21T18:20:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b96,0,2024-10-21T18:20:00Z,2024-10-21T18:30:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b97,0,2024-10-21T18:30:00Z,2024-10-21T18:40:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b98,0,2024-10-21T18:40:00Z,2024-10-21T18:50:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b99,0,2024-10-21T18:50:00Z,2024-10-21T19:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4ba5,0,2024-10-21T19:00:00Z,2024-10-21T19:10:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4ba6,0,2024-10-21T19:10:00Z,2024-10-21T19:20:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4ba7,0,2024-10-21T19:20:00Z,2024-10-21T19:30:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4ba8,0,2024-10-21T19:30:00Z,2024-10-21T19:40:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4ba9,0,2024-10-21T19:40:00Z,2024-10-21T19:50:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4baa,0,2024-10-21T19:50:00Z,2024-10-21T20:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bb6,0,2024-10-21T20:00:00Z,2024-10-21T20:10:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bb7,0,2024-10-21T20:10:00Z,2024-10-21T20:20:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bb8,0,2024-10-21T20:20:00Z,2024-10-21T20:30:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bb9,0,2024-10-21T20:30:00Z,2024-10-21T20:40:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bba,0,2024-10-21T20:40:00Z,2024-10-21T20:50:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bbb,0,2024-10-21T20:50:00Z,2024-10-21T21:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bbc,0,2024-10-21T21:00:00Z,2024-10-21T21:10:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bbd,0,2024-10-21T21:10:00Z,2024-10-21T21:20:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bbe,0,2024-10-21T21:20:00Z,2024-10-21T21:30:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bbf,0,2024-10-21T21:30:00Z,2024-10-21T21:40:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bc0,0,2024-10-21T21:40:00Z,2024-10-21T21:50:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bc1,0,2024-10-21T21:50:00Z,2024-10-21T22:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff57873f1647840f8a84,0,2024-10-21T21:00:00Z,2024-10-21T21:10:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
